invoice_id,customer_id,invoice_number,date_issued,due_date,amount,account_code,description,status,payment_date,discount_amount,tax_amount
INV001,C001,INV-2024-001,2024-08-01,2024-08-31,12500.00,4110,IT consulting project - Phase 1,Paid,2024-08-28,0.00,1000.00
INV002,C002,INV-2024-002,2024-08-05,2024-09-19,8750.00,4120,Monthly IT support services,Paid,2024-09-15,175.00,700.00
INV003,C003,INV-2024-003,2024-08-10,2024-09-09,25000.00,4130,Hospital management system development,Paid,2024-09-08,0.00,2000.00
INV004,C004,INV-2024-004,2024-08-15,2024-08-30,6800.00,4110,Manufacturing process optimization,Paid,2024-08-29,136.00,544.00
INV005,C005,INV-2024-005,2024-08-20,2024-09-19,4200.00,4120,Retail POS system support,Paid,2024-09-18,0.00,336.00
INV006,C006,INV-2024-006,2024-08-25,2024-10-09,3500.00,4130,Educational software development,Paid,2024-10-05,70.00,280.00
INV007,C007,INV-2024-007,2024-09-01,2024-09-16,15000.00,4110,Financial system integration,Paid,2024-09-15,0.00,1200.00
INV008,C008,INV-2024-008,2024-09-05,2024-10-05,2800.00,4120,Startup technical consulting,Outstanding,,0.00,224.00
INV009,C009,INV-2024-009,2024-09-10,2024-10-10,7200.00,4110,Legal practice management system,Outstanding,,0.00,576.00
INV010,C010,INV-2024-010,2024-09-15,2024-10-15,9500.00,4120,Healthcare IT infrastructure,Outstanding,,0.00,760.00
INV011,C011,INV-2024-011,2024-09-20,2024-10-20,3200.00,4130,Mobile app development,Outstanding,,0.00,256.00
INV012,C012,INV-2024-012,2024-09-25,2024-10-10,18000.00,4110,Banking software customization,Outstanding,,0.00,1440.00
INV013,C013,INV-2024-013,2024-08-12,2024-09-11,5400.00,4120,E-commerce platform support,Paid,2024-09-10,108.00,432.00
INV014,C014,INV-2024-014,2024-08-18,2024-09-17,11200.00,4110,Industrial automation consulting,Paid,2024-09-16,0.00,896.00
INV015,C015,INV-2024-015,2024-08-22,2024-09-21,2900.00,4130,Digital marketing platform,Paid,2024-09-20,0.00,232.00
INV016,C016,INV-2024-016,2024-08-28,2024-09-27,8900.00,4110,Construction management system,Paid,2024-09-26,178.00,712.00
INV017,C017,INV-2024-017,2024-09-02,2024-09-17,4100.00,4120,Restaurant POS system maintenance,Paid,2024-09-16,0.00,328.00
INV018,C018,INV-2024-018,2024-09-08,2024-10-08,16500.00,4110,Energy management system development,Outstanding,,0.00,1320.00
INV019,C019,INV-2024-019,2024-09-12,2024-10-12,6700.00,4130,Media production software,Outstanding,,0.00,536.00
INV020,C020,INV-2024-020,2024-09-18,2024-10-18,7800.00,4120,Transportation logistics platform,Outstanding,,0.00,624.00
INV021,C021,INV-2024-021,2024-09-22,2024-10-22,1800.00,4110,Small business consulting,Outstanding,,0.00,144.00
INV022,C022,INV-2024-022,2024-08-30,2024-09-14,2400.00,4120,Restaurant chain IT support,Paid,2024-09-13,48.00,192.00
INV023,C023,INV-2024-023,2024-09-03,2024-10-03,3800.00,4130,Fitness center management app,Outstanding,,0.00,304.00
INV024,C024,INV-2024-024,2024-09-07,2024-10-07,5600.00,4110,Property management software,Outstanding,,0.00,448.00
INV025,C025,INV-2024-025,2024-09-14,2024-10-29,1200.00,4120,Nonprofit organization IT support,Outstanding,,0.00,96.00
INV026,C001,INV-2024-026,2024-09-16,2024-10-16,14200.00,4110,IT consulting project - Phase 2,Outstanding,,0.00,1136.00
INV027,C002,INV-2024-027,2024-09-20,2024-11-04,8750.00,4120,October IT support services,Outstanding,,0.00,700.00
INV028,C003,INV-2024-028,2024-09-24,2024-10-24,22000.00,4130,Hospital system enhancement,Outstanding,,0.00,1760.00
INV029,C004,INV-2024-029,2024-08-08,2024-09-07,4900.00,4120,Manufacturing system maintenance,Paid,2024-09-06,98.00,392.00
INV030,C005,INV-2024-030,2024-08-14,2024-09-13,3600.00,4110,Retail analytics consulting,Paid,2024-09-12,0.00,288.00
INV031,C006,INV-2024-031,2024-08-26,2024-10-10,2800.00,4120,Educational platform support,Outstanding,,0.00,224.00
INV032,C007,INV-2024-032,2024-09-06,2024-09-21,12500.00,4110,Financial reporting system,Paid,2024-09-20,0.00,1000.00
INV033,C008,INV-2024-033,2024-09-11,2024-10-11,1950.00,4130,Startup website development,Outstanding,,0.00,156.00
INV034,C009,INV-2024-034,2024-09-17,2024-10-17,5800.00,4120,Legal document management,Outstanding,,0.00,464.00
INV035,C010,INV-2024-035,2024-09-21,2024-10-21,8200.00,4110,Healthcare data migration,Outstanding,,0.00,656.00
INV036,C011,INV-2024-036,2024-08-16,2024-09-15,2700.00,4120,Tech hub networking support,Paid,2024-09-14,54.00,216.00
INV037,C012,INV-2024-037,2024-08-24,2024-09-08,16800.00,4110,Banking security implementation,Paid,2024-09-07,0.00,1344.00
INV038,C013,INV-2024-038,2024-09-04,2024-10-04,4600.00,4130,Retail mobile app development,Outstanding,,0.00,368.00
INV039,C014,INV-2024-039,2024-09-13,2024-10-13,9200.00,4120,Industrial monitoring system,Outstanding,,0.00,736.00
INV040,C015,INV-2024-040,2024-09-19,2024-10-19,2200.00,4110,Marketing automation setup,Outstanding,,0.00,176.00
